items,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
Side Garden Salad,,FOOD,,395,2290.7,2389,485.85,1804.85,1903.15
Side Garlic Bread,,FOOD,,11,52.49,59,,,
Side Loaded Pot,,FOOD,,1,2.5,5,,,
Side Mash,,,,11,38.73,44.5,,,
Side Mashed Potato,,FOOD,,12,53.99,61.5,,,
Side Pasta,,,,5,30,44,,,
Side Rice,,,,9,33.1,36,,,
Side Slaw,,FOOD,,15,60,60,,,
Side Spinach,,FOOD,,49,146,146,,,
Side Veg,,FOOD,,441,59.53,62,,,
Single Room Suite,,HOTEL ROOMS,,11,1980,1980,,,
Skrewball,Shot,LIQUOR,,2,15,15,,,
Skrewball,RX,LIQUOR,,1,10.78,12,,,
Sliders,,FOOD,,341,4018.92,5125,1435.61,2583.31,3689.39
Soup Du Jour,Cup,FOOD,,272,1312.55,1360,,,
Soup Du Jour,Bowl,FOOD,,80,544.9,560,,,
Southern Comfort,Manhattan,LIQUOR,,3,34,36,,,
Southern Comfort,Shot,LIQUOR,,1,6,6,,,
Specialty Ice Cream,,FOOD,,26,165.69,182,,,
Sprite,,BEVERAGES,,98,278.24,284.2,43.12,235.12,241.08
Steak & Cake,,FOOD,,20,952.93,961,285.4,667.53,675.6
Steak Frites,,FOOD,,102,2950.47,3080,982.26,1968.21,2097.74
Steak Tacos,,FOOD,,135,1719.86,2027,607.5,1112.36,1419.5
Street Corn Flat Bread,,FOOD,,166,1747.22,2492,498,1249.22,1994
Sub Caesar 1st,,FOOD,,8,6,6,,,
Sub House 1st,,FOOD,,12,0,0,,,
Surf & Turf,,FOOD,,18,931.63,937,232.02,699.61,704.98
Sweet & Spicy Chicken,,FOOD,,433,4516.83,6067,1515.5,3001.33,4551.5
Sweet Fries,,FOOD,,449,1377.15,1387,745.34,631.81,641.66
Tanqueray,Mix,LIQUOR,,105,1023.69,1102.5,,,
Tanqueray,Martini,LIQUOR,,20,347.89,374,,,
Tanqueray,DBL,LIQUOR,,8,92.76,96,,,
Tanqueray,Mug Dbl,LIQUOR,,25,237.63,267.5,,,
Tanqueray,RX,LIQUOR,,3,46,47,,,
Tanqueray,Shot,LIQUOR,,1,7,8,,,
Teriyaki Salmon,,FOOD,,216,5739.69,5849,1527.12,4212.57,4321.88
The Smokehouse Burger,,FOOD,,448,7694.09,8069.5,2593.92,5100.17,5475.58
The Usual Burger,,FOOD,,498,7646.68,7993,2385.42,5261.26,5607.58
Tito's,Martini,LIQUOR,,164,2333.7,2401,,,
Tito's,Mix,LIQUOR,,368,2834.55,2987,,,
Tito's,DBL,LIQUOR,,50,463.18,476,,,
Tito's,RX,LIQUOR,,32,368.38,386,,,
Tito's,Mug Dbl,LIQUOR,,18,141.03,149,,,
Tito's,Shot,LIQUOR,,3,18,21,,,
Tomato Juice,,BEVERAGES,,7,21.4,21.7,,,
Tonic Water,,BEVERAGES,,6,16.96,17.4,2.88,14.08,14.52
Twin Lobster Tails,,FOOD,,1,43,43,,,
Two Petite Filets,,FOOD,,6,328,348,,,
Unsweetened Ice Tea,,BEVERAGES,,704,1988.43,2041.6,309.76,1678.67,1731.84
Vanilla Vodka,Martini,LIQUOR,,207,2222.45,2413,,,
Vanilla Vodka,Mix,LIQUOR,,10,48,70,,,
Vanilla Vodka,Mug Dbl,LIQUOR,,9,60.71,63,,,
Vanilla Vodka,DBL,LIQUOR,,1,3.22,8.25,,,
Veal Marsala,,FOOD,,6,133,145,,,
Veal Scoglio,,FOOD,,69,2347.14,2415,883.2,1463.94,1531.8
Vegetable Platter,,BANQUETS,,5,203.14,225,,,
Vegetable Stir Fry,,FOOD,,383,5745.53,6130,,,
Virgin Bloody,,LIQUOR,,4,17.02,20,,,
Virgin Pina Colada,,LIQUOR,,4,19.13,20,,,
Wedge Salad,,FOOD,,27,328.57,346,,,
Well Bourbon,RX,LIQUOR,,40,330.74,340,,,
Well Bourbon,Manhattan,LIQUOR,,19,155.36,171,,,
Well Bourbon,Mix,LIQUOR,,5,28.83,31.25,,,
Well Gin,Mix,LIQUOR,,36,168.47,225,,,
Well Gin,RX,LIQUOR,,1,10.5,10.5,,,
Well Gin,Martini,LIQUOR,,3,9,27,,,
Well Rum,Mix,LIQUOR,,55,326.91,366.75,,,
Well Rum,DBL,LIQUOR,,2,15,15,,,
Well Scotch,Mix,LIQUOR,,16,128.82,132,,,
Well Scotch,RX,LIQUOR,,6,86.17,90,,,
Well Scotch,Manhattan,LIQUOR,,3,49,49,,,
Well Tequila,Mix,LIQUOR,,201,1209.23,1529.3,,,
Well Tequila,Mug Dbl,LIQUOR,,1,7.5,8.25,,,
Well Tequila,RX,LIQUOR,,2,21,21,,,
Well Tequila,DBL,LIQUOR,,3,24.5,24.5,,,
Well Vodka,Mix,LIQUOR,,277,1562.46,1824.25,,,
Well Vodka,RX,LIQUOR,,23,195.19,209.5,,,
Well Vodka,Martini,LIQUOR,,100,881.6,971,,,
Well Vodka,DBL,LIQUOR,,21,149.33,158.5,,,
Well Vodka,Shot,LIQUOR,,6,33,33,,,
Well Vodka,Mug Dbl,LIQUOR,,4,12.06,28,,,
Well Whiskey,Mix,LIQUOR,,19,109.94,120.75,,,
Well Whiskey,DBL,LIQUOR,,2,15,15,,,
Well Whiskey,Manhattan,LIQUOR,,3,25.12,27,,,
Well Whiskey,Shot,LIQUOR,,1,5.5,5.5,,,
Well Whiskey,RX,LIQUOR,,3,25.5,25.5,,,
Well Whiskey,Mug Dbl,LIQUOR,,2,12.5,13.5,,,
Windsor,Mix,LIQUOR,,5,33,35,6.3,26.7,28.7
Windsor,DBL,LIQUOR,,1,8,8,1.58,6.42,6.42
Wine Flight,,GLASS WINE,,5,57.5,60,,,
Woodford Reserve,RX,LIQUOR,,27,551.53,567,,,
Woodford Reserve,Manhattan,LIQUOR,,11,229,242,,,
Woodford Reserve,DBL,LIQUOR,,4,58.03,60,,,
Woodford Reserve,Mix,LIQUOR,,4,52,52,,,
Woodford Reserve,Shot,LIQUOR,,7,69,70,,,
Yellow Fin Tuna Sandwich,,FOOD,,95,1768.47,1805.5,621.3,1147.17,1184.2
Zucchini Fries,,FOOD,,90,602.73,630,,,
limoncello,,LIQUOR,,14,97.42,98,,,
Total,,,,39131,467617.44,502256.17,57150.16,,
